/* DATA DESCRIPTION:
Citation:	Tezcan, A K; Turgay, M I (1991): Component parts of the World Heat Flow Data Collection [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.807627
Related to:	International Heat Flow Commission, I H F C (2012): Global Heat Flow Database. The Global Heat Flow Database of the International Heat Flow Commission (IHFC), University of North Dakota, USA; (data copied, 2012-10), https://ihfc-iugg.org/products/global-heat-flow-database/data
	Tezcan, A K; Turgay, M I (1991): Catalogue of heat flow density data: Turkey. In: Hurtig, E etal. (eds.), Geothermal atlas of Europe, International association for seismology and physics of the earth's interior, International Heat Flow Commission; Central Institute for Physics of the Earth; Hermann Hack Verlagsgesellschaft, 84-85
Further details:	Jessop, Alan M; Hobart, Michael A; Sclater, John G (1976): The World Heat Flow Data Collection - 1975. Geological Survey of Canada, Earth Physics Branch, Geothermal Series, 5, 10 pp, hdl:10013/epic.40176.d002
Coverage:	MEDIAN LATITUDE: 38.973167 * MEDIAN LONGITUDE: 34.610112 * SOUTH-BOUND LATITUDE: 35.096700 * WEST-BOUND LONGITUDE: 26.166700 * NORTH-BOUND LATITUDE: 41.970000 * EAST-BOUND LONGITUDE: 43.758300
Parameter(s):	Area/locality (Area) * PI: Tezcan, A K
	Sample, optional label/labor no (Lab no) * PI: Tezcan, A K
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Depth, top/min [m] (Depth top) * PI: Tezcan, A K * COMMENT: Minimum depth
	Depth, bottom/max [m] (Depth bot) * PI: Tezcan, A K * COMMENT: Maximum depth
	Number of temperature data (No Temps) * PI: Tezcan, A K
	Heat flow [mW/m**2] (HF) * PI: Tezcan, A K
	Method comment (Method comm) * PI: Tezcan, A K
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	1155 data points
*/
Area	Lab no	Latitude	Longitude	Depth top [m]	Depth bot [m]	No Temps	HF [mW/m**2]	Method comm
Turkey	1	41.9700	34.8383		1741	1	67	
Turkey	2	41.8367	28.5533		3020	1	71	
Turkey	3	41.8150	34.6800		2497	1	69	
Turkey	4	41.7933	27.6300		696	1	82	
Turkey	5	41.7533	26.6317		1003	1	78	
Turkey	6	41.7333	26.9050		1572	1	69	
Turkey	7	41.7283	32.3600		751	1	63	
Turkey	8	41.7133	26.5883		1046	1	76	
Turkey	9	41.7100	32.3717		1202	1	65	
Turkey	10	41.7100	32.3833		1296	1	67	
Turkey	11	41.6967	32.3717		1207	1	63	
Turkey	12	41.6833	27.1433		1745	1	61	
Turkey	13	41.6833	32.3533		995	1	61	
Turkey	14	41.6567	26.6750		1783	1	60	
Turkey	15	41.6567	32.3533		750	1	63	
Turkey	16	41.6583	27.0250		3401	1	68	
Turkey	17	41.6550	27.1933		2150	1	74	
Turkey	18	41.6333	27.2117		1472	1	71	
Turkey	19	41.6267	32.5800		1712	1	46	
Turkey	20	41.6183	36.0617		2595	1	74	
Turkey	21	41.6083	27.4033		1035	1	83	
Turkey	22	41.5967	27.2233		3400	1	71	
Turkey	23	41.5783	27.4050		1250	1	84	
Turkey	24	41.5400	27.3650		2935	1	79	
Turkey	25	41.5367	27.7017		661	1	80	
Turkey	26	41.5300	26.7033		3043	1	59	
Turkey	27	41.5233	27.3733		2400	1	71	
Turkey	28	41.5200	27.5350		1397	1	71	
Turkey	29	41.5167	27.0583		1139	1	65	
Turkey	30	41.5167	34.7983		2175	1	63	
Turkey	31	41.5067	27.4267		3403	1	71	
Turkey	32	41.5050	27.6400		1286	1	73	
Turkey	33	41.4917	26.9100		2479	1	86	
Turkey	34	41.4800	27.5400		2106	1	74	
Turkey	35	41.4500	26.6733		2538	1	69	
Turkey	36	41.4217	27.0417		3492	1	79	
Turkey	37	41.4217	27.4433		2246	1	69	
Turkey	38	41.4217	27.8233		1620	1	80	
Turkey	39	41.4067	27.9067		1006	1	80	
Turkey	40	41.3733	27.7267		3997	1	66	
Turkey	41	41.3633	27.4467		3950	1	78	
Turkey	42	41.3233	31.4333		794	1	61	
Turkey	43	41.3100	27.0567		4242	1	75	
Turkey	44	41.3067	26.7467		2335	1	88	
Turkey	45	41.2783	28.2267		763	1	89	
Turkey	46	41.2750	28.2250		762	1	80	
Turkey	47	41.2650	27.6767		2852	1	90	
Turkey	48	41.2283	28.1867		1814	1	84	
Turkey	49	41.2100	31.1267		973	1	80	
Turkey	50	41.1683	28.1683		1509	1	59	
Turkey	51	41.1383	28.3667		1437	1	58	
Turkey	52	41.1183	28.3433		2489	1	57	
Turkey	53	41.1017	27.8817		3013	1	69	
Turkey	54	41.0967	27.8633		2566	1	65	
Turkey	55	41.0850	28.2150		1930	1	82	
Turkey	55a	41.0833	27.9550		3348	1	71	
Turkey	56	41.0800	28.0750		2538	1	74	
Turkey	57	41.0800	28.1650		1853	1	79	
Turkey	58	41.0183	26.7100		1848	1	65	
Turkey	59	41.6267	28.0750		2538	1	74	
Turkey	60	40.9633	27.2950		1590	1	56	
Turkey	61	40.7333	26.8017		2340	1	53	
Turkey	62	40.7250	27.2900		2478	1	58	
Turkey	63	40.7133	27.0783		1718	1	46	
Turkey	64	40.6833	28.2850		721	1	165	
Turkey	65	40.6717	27.1917		1090	1	69	
Turkey	66	40.6367	27.1167		1848	1	65	
Turkey	67	40.6300	26.2283		1751	1	94	
Turkey	68	40.5417	26.9150		1893	1	56	
Turkey	69	40.5083	27.0617		864	1	117	
Turkey	70	40.4733	32.6567		1500	1	142	
Turkey	71	40.4617	32.6533		740	1	205	
Turkey	72	40.3633	26.5933		3114	1	61	
Turkey	73	40.1533	32.9450		1200	1	94	
Turkey	74	40.1233	26.2950		2393	1	66	
Turkey	75	40.0717	43.7583		1658	1	65	
Turkey	76	40.0667	43.7550		1393	1	61	
Turkey	77	39.9733	41.6900		2325	1	80	
Turkey	78	39.8333	27.0833	10	150	3	126	
Turkey	79	39.8133	32.3683		384	1	105	
Turkey	80	39.7767	30.5367		730	1	78	
Turkey	81	39.7550	39.6017		601	1	86	
Turkey	82	39.7233	41.5567		1499	1	84	
Turkey	83	39.7117	41.4217		2457	1	63	
Turkey	84	39.6867	37.4067		2090	1	46	
Turkey	85	39.5833	26.1667	10	150	3	126	
Turkey	86	39.5000	32.2667		3306		96	
Turkey	87	39.1667	27.3333	10	150	3	126	
Turkey	88	39.1667	34.8500	10	150	3	126	
Turkey	89	39.0833	26.9167	10	150	3	126	
Turkey	90	39.0833	29.0833	10	150	3	126	
Turkey	91	39.0833	29.0833	10	150	3	126	
Turkey	92	38.9067	33.5800		2161	1	69	
Turkey	93	38.6933	26.6417		866	1	103	
Turkey	94	38.6300	42.2117		342	3	80	
Turkey	95	38.6100	37.4383		582	1	63	
Turkey	96	38.4167	27.8333	10	150	1	126	
Turkey	97	38.3600	40.3600		1751	1	61	
Turkey	98	38.3433	33.9900		1433	1	74	
Turkey	99	38.3333	28.1667	10	150	3	126	
Turkey	100	38.2550	41.1800		3120	1	53	
Turkey	101	38.2500	40.8500		798	1	42	
Turkey	102	38.2483	41.3633		2100	1	60	
Turkey	103	38.2217	40.1867		1585	1	70	
Turkey	104	38.2217	40.4167		1921	1	46	
Turkey	105	38.2167	41.4183		4100	1	63	
Turkey	106	38.2117	41.3067		2090	1	61	
Turkey	107	38.2100	41.5283		3480	1	61	
Turkey	108	38.2083	40.6450		3585	1	43	
Turkey	109	38.1950	40.3750		2100	1	50	conventional
Turkey	110	38.1917	39.9717		2381	1	63	
Turkey	111	38.1867	33.7200		1503	1	63	
Turkey	112	38.1767	40.3933		2145	1	51	
Turkey	113	38.1767	40.2483		1600	1	61	
Turkey	114	38.1750	40.0767		1768	1	92	
Turkey	115	38.1667	26.8333	10	150	3	126	
Turkey	116	38.1650	40.2783		1936	1	63	
Turkey	117	38.1633	40.3533		1948	1	59	
Turkey	118	38.1533	40.2850		2050	1	59	
Turkey	119	38.1517	40.1883		1490	1	75	
Turkey	120	38.1400	39.8767		1530	1	71	
Turkey	121	38.1283	39.9150		1680	1	65	
Turkey	122	38.1267	40.2350		1830	1	61	
Turkey	123	38.1267	41.5400		2950	1	43	
Turkey	124	38.1217	39.7567		1500	1	70	
Turkey	125	38.1167	41.2517		3003	1	50	
Turkey	126	38.1133	41.5617		2965	1	75	
Turkey	127	38.1117	41.0750		3113	1	53	
Turkey	128	38.0950	41.7433		2070	1	56	
Turkey	129	38.0900	40.3967		2497	1	48	
Turkey	130	38.0833	28.8333	10	150	3	126	
Turkey	131	38.0833	29.0833	10	150	3	126	
Turkey	132	38.0817	41.6467		3250	1	55	
Turkey	133	38.0750	40.3333		2827	1	59	
Turkey	134	38.0700	40.6850		3128	1	56	
Turkey	135	38.0617	39.6117		2134	1	61	
Turkey	136	38.0600	40.0367		2365	1	45	
Turkey	137	38.0267	41.3583		2383	1	61	
Turkey	138	38.0250	39.8167		2280	1	48	
Turkey	139	38.0217	40.5650		677	1	118	
Turkey	140	37.9883	39.6200		2322	1	80	
Turkey	141	37.9717	42.0467		1770	1	31	
Turkey	142	37.9317	41.0600		1053	1	61	
Turkey	143	37.9300	41.6117		2240	1	59	
Turkey	144	37.9050	33.6567		2960	1	62	
Turkey	145	37.9050	38.8267		3253	1	71	
Turkey	146	37.8983	40.5550		2157	1	65	
Turkey	147	37.8850	40.8650		2097	1	50	
Turkey	148	37.8917	38.4650		3030	1	71	
Turkey	149	37.8767	40.9467		2666	1	49	
Turkey	150	37.8650	40.6600		2502	1	53	
Turkey	151	37.8633	38.5850		825	1	88	
Turkey	152	37.8367	43.6233		4020	1	43	
Turkey	153	37.8333	28.8333	10	150	3	126	
Turkey	154	37.8267	41.7683		1902	1	39	
Turkey	155	37.8217	40.9767		1574	1	62	
Turkey	156	37.7967	38.0967		1150	1	65	
Turkey	157	37.7933	38.1933		1720	1	68	
Turkey	158	37.7917	38.1933		1870	1	94	
Turkey	159	37.7783	38.8350		2536	1	67	
Turkey	160	37.7767	39.0717		1524	1	92	
Turkey	161	37.7767	41.2600		1320	1	84	
Turkey	162	37.7617	41.3633		1320	1	86	
Turkey	163	37.7500	27.6667	10	150	3	126	
Turkey	164	37.7500	29.2500	10	150	3	126	
Turkey	165	37.7250	36.3933		1462	1	67	
Turkey	166	37.7017	38.2033		1640	1	57	
Turkey	167	37.6983	41.8833		1998	1	74	
Turkey	168	37.6533	42.3317		1746	1	62	
Turkey	169	37.6500	38.4950		1148	1	107	
Turkey	170	37.6467	38.4950		1382	1	74	
Turkey	171	37.6467	39.1367		1893	1	69	
Turkey	172	37.6233	37.4683		801	1	122	
Turkey	173	37.5933	40.7217		1707	1	48	
Turkey	174	37.5400	34.7367		280	1	126	
Turkey	175	37.5450	41.8317		2175	1	50	
Turkey	176	37.4900	37.8300		1901	1	57	
Turkey	177	37.4583	38.5500		488	1	88	
Turkey	178	37.4433	35.5667		1293	1	35	
Turkey	179	37.4067	39.1667		898	1	78	
Turkey	180	37.4117	41.3817		867	1	101	
Turkey	181	37.3683	35.6950		1142	1	33	
Turkey	182	37.3550	37.7083		3259	1	59	
Turkey	183	37.3283	36.0167		177	1	191	
Turkey	184	37.3217	35.4933		1585	1	48	
Turkey	185	37.3000	41.9783		3563	1	59	
Turkey	186	37.2950	35.5833		1614	1	62	
Turkey	187	37.2467	35.0117		1897	1	48	
Turkey	188	37.2267	42.3850		2100	1	50	
Turkey	189	37.2100	41.4367		1203	1	55	
Turkey	190	37.2100	41.4750		1189	1	49	
Turkey	191	37.1717	35.0717		1633	1	53	
Turkey	192	37.1633	35.1817		1415	1	57	
Turkey	193	37.1600	41.0350		1235	1	65	
Turkey	194	37.1583	41.7167		1752	1	69	
Turkey	195	37.1483	35.1500		1747	1	61	
Turkey	196	37.1350	35.0617		495	1	71	
Turkey	197	37.1333	35.9783		156	1	201	
Turkey	198	37.1083	41.4383		1966	1	25	
Turkey	199	37.1033	40.3400		1633	1	38	
Turkey	200	37.0917	35.1100		2422	1	58	
Turkey	201	37.0900	35.1017		2304	1	51	
