name,lat,lon,elevation_m,depth_m,heat_flow_mWm2,T_grad_Cperkm,quality_score
72,40.3633,26.5933,,,61.0,29.04761905,Ux.M4.-------
74,40.1233,26.295,,,66.0,31.42857143,Ux.M4.-------
78,39.8333,27.0833,,,126.0,60.0,Ux.M4.-------
85,39.5833,26.1667,,,126.0,60.0,Ux.M4.-------
87,39.1667,27.3333,,,126.0,60.0,Ux.M4.-------
89,39.0833,26.9167,,,126.0,60.0,Ux.M4.-------
93,38.6933,26.6417,,,103.0,49.04761905,Ux.M4.-------
Alacaatli,39.2534,28.0488,262.0,71.0,44.0,26.3825,Ux.M4x.xxTxxcx
Alahidir,38.5,27.8974,145.0,182.0,85.0,35.7,U3.M3.Sxxxxxx
Anad.Lis,39.6802,27.9324,,,70.0,35.0,U4.M4x.-----X-
Azimli,38.7774,27.6073,101.0,108.0,50.0,32.55,U4.M3.xxxxxxx
Babadere1,39.6,26.17,78.0,130.0,100.0,100.0,Ux.M3.xxxxxcx
Bandirma,40.3029,27.9441,,,51.0,25.5,U4.M4x.-----c-
Bergama,39.0946,27.2063,,,45.0,30.0,U4.M4x.-----X-
Besiktepe,39.25,26.8692,,,75.0,41.66666667,U3.M4x.-----x-
Biga,40.2455,27.1588,,,54.0,27.0,U4.M4x.-----x-
Boyali,38.8338,28.1418,502.0,104.0,53.0,55.4225,U3.M3.xxxxxxx
Bulutlucesme,39.2851,26.8492,328.0,92.0,76.0,34.0725,Ux.M4x.xxTxxCx
Camkoy,39.6081,28.5,,,39.0,17.56939394,U2.M4x.-----c-
Carik,40.2613,27.8309,,,102.0,44.34,U2.M4x.-----c-
Cataloluk,38.8943,28.4907,676.0,122.0,88.0,43.2,U3.M3.xxxxxxx
Cavuskoy,40.24801588,27.24073862,21.0,162.0,49.0,32.43243243,U4.M3.xxxxxxx
Cayirhisar,39.6239,27.906,,,80.0,41.5,U3.M4x.-----c-
Denizkoy,38.99,26.85,,,110.0,130.47,Ux.Mx.-------
Emreköy,38.6,28.52,687.0,180.0,65.1,21.0,U3.M2.xxxxxxx
Geyikli,39.81,26.2,,,100.5,50.25,Ux.Mx.-------
Gon.Balci,40.0541,27.5926,,,48.0,24.0,U3.M4x.-----c-
Gonen,40.1802,27.6559,,,130.0,65.0,U4.M4x.-----x-
Havran,39.57,27.04,,,46.0,14.35,Ux.Mx.-------
Ibrahimaga,38.6284,28.6784,509.0,152.0,133.0,55.6,U4.M3.xxxxxXx
Inkaya,39.5135,27.9441,,,95.0,48.946666666666665,U3.M4x.-----x-
Intepe,40.02790747,26.34341762,151.0,127.0,92.0,43.1,U3.M3.xxTxxxx
K.Belen,38.75,27.25833,370.0,74.0,104.0,63.393939395,U4.M4x.xxxxxcx
Kayapa,39.491,27.4448,,,96.0,28.85333333333333,U2.M4x.-----X-
Kite,40.19722041,28.87628012,74.0,156.0,49.0,31.9,Ux.M4.-------
Kite,40.1982,28.8765,74.0,156.0,49.0,34.25,U3.M3.xxxxxxx
Kizilavlu,38.5649,28.3404,289.0,110.0,79.0,48.775,U4.M3.xxxxxxx
Koseler,39.67,27.97,,,64.0,36.0,U4.M4x.-----x-
Kurfalli,38.99166,27.08333,177.0,82.0,86.5,32.346666666666664,Ux.Mx.-------
Kurse,39.7703,28.0698,,,45.0,30.0,U3.M4x.-----x-
Kücüksapci,39.61,27.32,,,78.0,25.3,Ux.Mx.-------
Linyit,40.25,28.6,101.0,94.0,26.6,13.3,Ux.M4.-------
Linyitleri,40.2522,28.9618,,,88.0,26.843333333333334,U3.M4x.-----c-
M.K.Pasa,40.0495,28.4706,,,113.0,32.18857143,U3.M4x.-----X-
Nusrat1,39.622,28.1455,119.0,110.0,20.0,15.0,U4.M3.xxxxxxx
Nusrat2,39.6223,28.1464,120.0,125.0,17.0,13.0,U4.M3.xxxxxxx
Ortuluce,40.37801877,27.21113706,58.0,130.0,58.0,23.1,U4.M4x.xxxxxCx
Pazarkoy,39.86470763,27.3855446,162.0,88.0,76.0,50.5,U4.M3.xxxxxxx
Poyrazköy,38.68,28.19,636.0,167.0,76.8,24.0,U4.M3.xxxxxxx
Pursunler,39.22699619,28.20166864,294.0,86.0,57.0,31.2825,U3.M3.xxTxxxx
Saraçlar,38.6,28.56,694.0,165.0,30.0,25.0,U3.M2.xxxxxxx
Saricalar,39.1977,27.4844,,,55.0,28.95,U3.M4x.-----c-
Selimiye,39.473,27.9015,,,166.0,97.647,U2.M4x.-----x-
Seyrek,38.55,26.9173,5.0,174.0,83.0,62.9025,Ux.M3.xxxxxcx
Ssk,40.22,29.0,,,112.5,56.25,Ux.Mx.-------
Terzialan,39.9565084,27.023435,152.0,83.0,41.0,37.77,U4.M3.xxxxxxx
Turfullar,39.482,28.2971,,,75.0,44.117,U2.M4x.-----x-
Tuzla1,39.57,26.15,11.0,50.0,73.0,49.0,U4.M3.xxxxxxx
Y.Kiriklar,39.2315,27.2549,357.0,154.0,78.0,49.25,Ux.M3.xxxxxcx
Yapildak,40.20051223,26.5561218,140.0,70.0,85.0,55.8425,U4.M3.xxtxxXx
Yolagzi,40.319,26.335,,,73.0,36.5,U4.M4x.-----c-
ibrahimaga,38.6284,28.6784,509.0,152.0,133.0,46.47,U4.M3.xxxxxXx
